SHIP_ID,SHIP_DATE,Ship_Mode,Shipping_Cost
Sam_33195,2011-01-15,Same Day,21.15
Sta_16737,2011-01-15,Standard Class,0.891
Sta_17555,2011-01-15,Standard Class,8.925
Fir_6576,2011-01-15,First Class,26.232
Sta_37819,2011-01-15,Standard Class,10.52
Sta_35508,2011-01-15,Standard Class,21.49
Sta_11729,2011-01-15,Standard Class,2.57
Sec_32442,2011-01-15,Second Class,1.04
Sta_35629,2011-01-15,Standard Class,12.45
Fir_27536,2011-01-15,First Class,2.69
Fir_32748,2011-01-15,First Class,7.31
Sta_18702,2011-01-16,Standard Class,1.09
Sta_39995,2011-01-16,Standard Class,1.27
Sta_39623,2011-01-16,Standard Class,1.27
Sta_39268,2011-01-16,Standard Class,0.62
Sta_39269,2011-01-16,Standard Class,0.43
Sta_39996,2011-01-16,Standard Class,0.24
Sta_39267,2011-01-16,Standard Class,0.25
Sta_38038,2011-01-16,Standard Class,7.09
Sta_38039,2011-01-16,Standard Class,40.16
Fir_46532,2011-01-16,First Class,10.96
Sec_2323,2011-01-16,Second Class,12.66
Sec_2322,2011-01-16,Second Class,0.85
Sec_2325,2011-01-16,Second Class,146.29
Sec_2324,2011-01-16,Second Class,2.88
Sec_27992,2011-01-16,Second Class,141.35
Sta_2531,2011-01-16,Standard Class,0.22
Sta_28145,2011-01-16,Standard Class,3.52
Sta_41269,2011-01-16,Standard Class,26.724
Sta_44027,2011-01-17,Standard Class,0.72
Fir_30782,2011-01-17,First Class,43.555
Sta_23197,2011-01-17,Standard Class,31.783
Sta_19448,2011-01-17,Standard Class,54.548
Sta_38953,2011-01-17,Standard Class,38.185
Sta_21623,2011-01-17,Standard Class,18.63
Sec_27993,2011-01-17,Second Class,52.32
Sta_36774,2011-01-17,Standard Class,2.2
Fir_43457,2011-01-18,First Class,5.48
Sta_20553,2011-01-18,Standard Class,55.62
Sta_17440,2011-01-18,Standard Class,76.6
Sta_17648,2011-01-18,Standard Class,2.66
Fir_29139,2011-01-18,First Class,88.52
Sta_41950,2011-01-18,Standard Class,15.77
Sta_41952,2011-01-18,Standard Class,0.3
Sta_41951,2011-01-18,Standard Class,23.56
Sta_41953,2011-01-18,Standard Class,42.43
Sta_41656,2011-01-18,Standard Class,11.53
Sta_41657,2011-01-18,Standard Class,4.48
Sta_41655,2011-01-18,Standard Class,0.43
Sta_41781,2011-01-18,Standard Class,5.84
Fir_27920,2011-01-18,First Class,45.24
Sta_22989,2011-01-19,Standard Class,49.92
Sta_23198,2011-01-19,Standard Class,53.02
Sta_10359,2011-01-19,Standard Class,30.34
Sec_34654,2011-01-19,Second Class,6.46
Sec_34652,2011-01-19,Second Class,7.33
Sec_34653,2011-01-19,Second Class,6.56
Sec_5173,2011-01-19,Second Class,38.7
Sta_15689,2011-01-19,Standard Class,2.08
Sta_20837,2011-01-19,Standard Class,28.92
Sta_15293,2011-01-19,Standard Class,7.28
Sta_38535,2011-01-19,Standard Class,35.98
Sta_42655,2011-01-19,Standard Class,14.53
Sta_42654,2011-01-19,Standard Class,1.51
Sta_42653,2011-01-19,Standard Class,1.29
Sta_42652,2011-01-19,Standard Class,0.43
Sta_49117,2011-01-19,Standard Class,1.46
Sta_47077,2011-01-19,Standard Class,0.27
Sec_46571,2011-01-19,Second Class,26.12
Sec_49807,2011-01-19,Second Class,10.17
Sec_49706,2011-01-19,Second Class,36.4
Sec_46656,2011-01-19,Second Class,5.26
Sta_347,2011-01-19,Standard Class,187.65
Sta_346,2011-01-19,Standard Class,3.03
Sta_47254,2011-01-19,Standard Class,40.44
Sam_3882,2011-01-20,Same Day,11.64
Sam_24516,2011-01-20,Same Day,88.97
Sam_3881,2011-01-20,Same Day,7.92
Sec_5964,2011-01-20,Second Class,0.76
Sec_5965,2011-01-20,Second Class,4.12
Sec_32260,2011-01-20,Second Class,15.08
Sec_4831,2011-01-20,Second Class,8.42
Sec_26148,2011-01-20,Second Class,92.1
Fir_3317,2011-01-20,First Class,58.25
Fir_34337,2011-01-20,First Class,15.23
Sam_5727,2011-01-20,Same Day,82.669
Sta_15667,2011-01-20,Standard Class,3.614
Sta_21244,2011-01-20,Standard Class,27.667
Sta_13766,2011-01-20,Standard Class,6.108
Sta_14598,2011-01-20,Standard Class,11.878
Sta_40686,2011-01-20,Standard Class,2.16
Sta_45533,2011-01-21,Standard Class,3.96
Fir_4296,2011-01-21,First Class,3.54
Sta_40808,2011-01-21,Standard Class,1.46
Sta_40807,2011-01-21,Standard Class,1.02
Sta_40760,2011-01-21,Standard Class,3.43
Sta_34787,2011-01-21,Standard Class,9.71
Sta_34788,2011-01-21,Standard Class,9.43
Fir_9261,2011-01-21,First Class,2.48
Sta_9904,2011-01-21,Standard Class,23.89
Fir_5174,2011-01-21,First Class,18.36
Fir_34485,2011-01-21,First Class,132.29
Fir_47425,2011-01-21,First Class,6.03
Fir_48679,2011-01-21,First Class,10.39
Fir_47402,2011-01-21,First Class,29.68
Fir_48680,2011-01-21,First Class,14.49
Fir_27028,2011-01-21,First Class,12.68
Fir_8486,2011-01-21,First Class,143.67
Sec_5302,2011-01-22,Second Class,1.4
Sta_36238,2011-01-22,Standard Class,159.515
Fir_25085,2011-01-22,First Class,20.93
Sec_7520,2011-01-22,Second Class,2.05
Sec_7521,2011-01-22,Second Class,1.48
Sec_48525,2011-01-22,Second Class,5.04
Fir_43733,2011-01-23,First Class,1.77
Fir_43732,2011-01-23,First Class,27.43
Sta_16667,2011-01-23,Standard Class,4.7
Sta_34789,2011-01-23,Standard Class,0.4
Sec_32749,2011-01-23,Second Class,2.53
Sta_38853,2011-01-23,Standard Class,21.22
Sam_6231,2011-01-23,Same Day,5.546
Sam_24226,2011-01-23,Same Day,146.119
Sam_6229,2011-01-23,Same Day,3.61
Sam_6230,2011-01-23,Same Day,3.267
Sam_25086,2011-01-23,Same Day,45.767
Sec_44262,2011-01-24,Second Class,1.23
Sam_25087,2011-01-24,Same Day,15.16
Sam_5436,2011-01-24,Same Day,133.57
Sam_25588,2011-01-24,Same Day,234.73
Fir_5891,2011-01-24,First Class,21.6
Sta_19682,2011-01-24,Standard Class,4.1
Sta_21245,2011-01-24,Standard Class,25.814
Sta_20838,2011-01-24,Standard Class,36.292
Sta_37091,2011-01-24,Standard Class,3.74
Sta_36584,2011-01-24,Standard Class,6.08
Sec_49462,2011-01-24,Second Class,3.64
Sta_12197,2011-01-25,Standard Class,8.77
Sta_38211,2011-01-25,Standard Class,17.083
Sta_39624,2011-01-25,Standard Class,2.02
Sta_13680,2011-01-26,Standard Class,0.27
Sta_12599,2011-01-26,Standard Class,73.27
Sta_19683,2011-01-26,Standard Class,9.002
Sta_21786,2011-01-26,Standard Class,10.231
Sam_32706,2011-01-26,Same Day,1.75
Sam_29118,2011-01-26,Same Day,24.75
Sam_32705,2011-01-26,Same Day,3.98
Sta_15690,2011-01-26,Standard Class,18.96
Sta_38723,2011-01-26,Standard Class,4.38
Sta_19759,2011-01-26,Standard Class,18.43
Sta_13963,2011-01-26,Standard Class,4.61
Fir_29722,2011-01-26,First Class,12.7
Fir_6781,2011-01-26,First Class,4.72
Fir_6480,2011-01-26,First Class,5.24
Fir_29721,2011-01-26,First Class,29.86
Fir_6891,2011-01-26,First Class,11.16
Sec_3723,2011-01-26,Second Class,3.33
Sta_23301,2011-01-26,Standard Class,77.08
Sta_10652,2011-01-26,Standard Class,5.13
Sta_37092,2011-01-26,Standard Class,96.45
Fir_3318,2011-01-26,First Class,6.53
Sta_28930,2011-01-26,Standard Class,0.64
Sta_2,2011-01-26,Standard Class,0.94
Fir_6892,2011-01-27,First Class,3.17
Sta_21384,2011-01-27,Standard Class,11.909
Fir_30453,2011-01-27,First Class,92.67
Sta_13767,2011-01-27,Standard Class,88.66
Sta_14236,2011-01-27,Standard Class,1.58
Sta_14039,2011-01-27,Standard Class,6.06
Sta_21624,2011-01-27,Standard Class,24.75
Sta_10211,2011-01-27,Standard Class,8.922
Sta_10209,2011-01-27,Standard Class,1.29
Sta_10210,2011-01-27,Standard Class,5.216
Sta_23772,2011-01-27,Standard Class,26.734
Sta_24063,2011-01-27,Standard Class,19.104
Sta_35309,2011-01-27,Standard Class,320.376
Sta_13259,2011-01-27,Standard Class,1.91
Sta_13512,2011-01-27,Standard Class,0.58
Sta_38612,2011-01-27,Standard Class,2.36
Sta_27827,2011-01-27,Standard Class,0.71
Sta_2991,2011-01-27,Standard Class,8.4
Sta_2987,2011-01-27,Standard Class,4.88
Sta_2988,2011-01-27,Standard Class,1.21
Sta_27826,2011-01-27,Standard Class,20.68
Sta_2989,2011-01-27,Standard Class,1.98
Sta_2990,2011-01-27,Standard Class,1.14
Sta_47255,2011-01-27,Standard Class,14.53
Sta_27996,2011-01-27,Standard Class,31.52
Sta_2327,2011-01-27,Standard Class,1.22
Sta_27995,2011-01-27,Standard Class,2.57
Sta_2326,2011-01-27,Standard Class,0.47
Sta_2328,2011-01-27,Standard Class,2.6
Sta_27994,2011-01-27,Standard Class,85.72
Sta_47541,2011-01-27,Standard Class,3.0
Sec_3319,2011-01-28,Second Class,13.82
Fir_26746,2011-01-28,First Class,19.7
Sec_31716,2011-01-28,Second Class,0.28
Sec_29556,2011-01-28,Second Class,18.61
Sta_41658,2011-01-28,Standard Class,0.94
Sta_2613,2011-01-28,Standard Class,0.95
Sta_44101,2011-01-29,Standard Class,9.92
Sec_5966,2011-01-29,Second Class,16.59
Sec_7159,2011-01-29,Second Class,1.762
Sta_18420,2011-01-29,Standard Class,33.54
Sta_18419,2011-01-29,Standard Class,6.64
Sec_34708,2011-01-29,Second Class,11.06
Sec_7160,2011-01-29,Second Class,1.74
Sec_7015,2011-01-29,Second Class,12.46
Sec_25007,2011-01-29,Second Class,0.61
Sec_8805,2011-01-29,Second Class,7.14
Sec_8888,2011-01-29,Second Class,9.44
Sec_34709,2011-01-29,Second Class,2.65
Sta_15691,2011-01-29,Standard Class,0.62
Sta_20670,2011-01-29,Standard Class,66.1
Sta_42076,2011-01-29,Standard Class,1.2
Sta_11185,2011-01-29,Standard Class,4.451
Sec_7016,2011-01-29,Second Class,6.695
Sec_8953,2011-01-29,Second Class,24.518
Fir_8309,2011-01-29,First Class,3.73
Fir_9262,2011-01-29,First Class,0.54
Fir_24714,2011-01-29,First Class,4.24
Fir_8308,2011-01-29,First Class,3.44
Sta_1634,2011-01-29,Standard Class,4.31
Sta_18421,2011-01-30,Standard Class,16.94
Sta_12600,2011-01-30,Standard Class,4.27
Sta_16108,2011-01-30,Standard Class,3.57
Sam_30073,2011-01-30,Same Day,63.14
Sta_15789,2011-01-30,Standard Class,20.03
Sta_18078,2011-01-30,Standard Class,11.94
Sta_22290,2011-01-30,Standard Class,16.92
Sta_19449,2011-01-30,Standard Class,5.54
Sta_18634,2011-01-30,Standard Class,4.88
Sta_18899,2011-01-30,Standard Class,1.2
Sta_38854,2011-01-30,Standard Class,33.99
Sta_14936,2011-01-30,Standard Class,25.63
Sta_11730,2011-01-30,Standard Class,4.82
Fir_2774,2011-01-30,First Class,1.39
Fir_27609,2011-01-30,First Class,24.59
Sta_41178,2011-01-31,Standard Class,1.976
Fir_32967,2011-01-31,First Class,9.82
Fir_32968,2011-01-31,First Class,4.86
Sta_42077,2011-01-31,Standard Class,12.24
Sta_23199,2011-01-31,Standard Class,27.7
Sta_12260,2011-01-31,Standard Class,1.43
Sta_23133,2011-01-31,Standard Class,17.14
Sta_11731,2011-01-31,Standard Class,0.88
Fir_31718,2011-01-31,First Class,0.6
Fir_31717,2011-01-31,First Class,1.01
Sta_41659,2011-01-31,Standard Class,47.35
Sta_41660,2011-01-31,Standard Class,11.17
Sta_41742,2011-01-31,Standard Class,3.08
Sta_41662,2011-01-31,Standard Class,19.93
Sta_41661,2011-01-31,Standard Class,1.28
Sta_41782,2011-01-31,Standard Class,0.34
Sta_20839,2011-02-01,Standard Class,17.61
Sta_15790,2011-02-01,Standard Class,2.6
Sta_17441,2011-02-01,Standard Class,10.73
Sta_15692,2011-02-01,Standard Class,8.94
Sta_22573,2011-02-01,Standard Class,1.15
Sta_9905,2011-02-01,Standard Class,13.22
Sta_2534,2011-02-01,Standard Class,21.48
Sta_28149,2011-02-01,Standard Class,11.95
Sta_2532,2011-02-01,Standard Class,1.53
Sta_28146,2011-02-01,Standard Class,0.43
Sta_28148,2011-02-01,Standard Class,17.66
Sta_2533,2011-02-01,Standard Class,1.13
Sta_28147,2011-02-01,Standard Class,6.15
Sec_44876,2011-02-02,Second Class,51.51
Sam_26150,2011-02-02,Same Day,71.57
Sam_34569,2011-02-02,Same Day,35.68
Sta_37723,2011-02-02,Standard Class,5.67
Sec_8954,2011-02-03,Second Class,5.29
Sec_7522,2011-02-03,Second Class,3.78
Sec_26149,2011-02-03,Second Class,57.3
Sec_7017,2011-02-03,Second Class,11.13
Sta_41439,2011-02-03,Standard Class,31.536
Sec_4297,2011-02-03,Second Class,44.36
Sta_43232,2011-02-03,Standard Class,1.15
Sec_5303,2011-02-03,Second Class,3.34
Sec_4832,2011-02-03,Second Class,19.23
Fir_6893,2011-02-03,First Class,12.696
Fir_47256,2011-02-03,First Class,54.64
Sta_595,2011-02-03,Standard Class,4.0
Sta_50602,2011-02-03,Standard Class,23.43
Sta_594,2011-02-03,Standard Class,3.25
Sta_41270,2011-02-03,Standard Class,18.728
Sec_5658,2011-02-04,Second Class,53.08
Sta_14040,2011-02-04,Standard Class,3.35
Sta_21625,2011-02-04,Standard Class,19.34
Sta_16806,2011-02-04,Standard Class,6.18
Sta_16805,2011-02-04,Standard Class,3.6
Sta_21385,2011-02-04,Standard Class,22.32
Sta_15791,2011-02-04,Standard Class,2.12
Sec_31722,2011-02-04,Second Class,2.36
Sec_29557,2011-02-04,Second Class,19.19
Sec_31719,2011-02-04,Second Class,0.12
Sec_29485,2011-02-04,Second Class,2.27
Sec_31720,2011-02-04,Second Class,0.39
Sec_31721,2011-02-04,Second Class,0.32
Fir_5892,2011-02-04,First Class,6.18
Sec_32444,2011-02-04,Second Class,1.78
Sec_32443,2011-02-04,Second Class,13.49
Sec_30233,2011-02-04,Second Class,46.3
Fir_27610,2011-02-04,First Class,66.88
Sta_48152,2011-02-04,Standard Class,0.36
Fir_29898,2011-02-04,First Class,49.6
Sta_44651,2011-02-05,Standard Class,54.17
Sta_44650,2011-02-05,Standard Class,15.85
Sec_4833,2011-02-05,Second Class,33.15
Fir_26477,2011-02-05,First Class,26.59
Fir_30074,2011-02-05,First Class,70.94
Fir_4834,2011-02-05,First Class,4.14
Fir_24227,2011-02-05,First Class,154.4
Fir_4298,2011-02-05,First Class,88.42
Fir_29969,2011-02-05,First Class,16.56
Fir_29970,2011-02-05,First Class,109.14
Fir_32707,2011-02-05,First Class,1.83
Sta_18223,2011-02-05,Standard Class,6.03
Sta_13513,2011-02-05,Standard Class,4.51
Sec_32750,2011-02-05,Second Class,6.64
Sta_2992,2011-02-05,Standard Class,1.2
Sta_2993,2011-02-05,Standard Class,22.58
Sta_18519,2011-02-06,Standard Class,10.65
Sta_39743,2011-02-06,Standard Class,8.518
Sta_39625,2011-02-06,Standard Class,1.991
Sta_36139,2011-02-06,Standard Class,96.84
Sta_36140,2011-02-06,Standard Class,12.91
Sta_36691,2011-02-06,Standard Class,6.72
Sta_36138,2011-02-06,Standard Class,6.24
Sta_23666,2011-02-06,Standard Class,19.65
Sta_17029,2011-02-06,Standard Class,5.01
Sta_17030,2011-02-06,Standard Class,5.85
Sta_16271,2011-02-06,Standard Class,5.18
Sta_17649,2011-02-06,Standard Class,1.9
Sta_20239,2011-02-06,Standard Class,129.0
Sta_21097,2011-02-06,Standard Class,104.29
Sta_39151,2011-02-06,Standard Class,6.214
Sta_39547,2011-02-06,Standard Class,21.377
Sta_39744,2011-02-06,Standard Class,0.812
Sec_5304,2011-02-06,Second Class,4.16
Sec_29761,2011-02-06,Second Class,78.0
Sta_45743,2011-02-07,Standard Class,1.77
Sta_19038,2011-02-07,Standard Class,1.86
Sta_19039,2011-02-07,Standard Class,0.93
Fir_27029,2011-02-07,First Class,66.08
Fir_6423,2011-02-07,First Class,42.0
Sta_35630,2011-02-07,Standard Class,3.34
Sec_8626,2011-02-07,Second Class,4.7
Sec_8625,2011-02-07,Second Class,5.96
Sec_24517,2011-02-07,Second Class,56.01
Sec_29723,2011-02-07,Second Class,23.69
Sta_596,2011-02-07,Standard Class,0.29
Sec_48226,2011-02-07,Second Class,8.82
Sec_48225,2011-02-07,Second Class,2.26
Sta_14775,2011-02-08,Standard Class,3.13
Sta_10653,2011-02-08,Standard Class,3.76
Sta_10360,2011-02-08,Standard Class,3.33
Sta_43233,2011-02-08,Standard Class,14.97
Sam_25589,2011-02-09,Same Day,53.525
Sam_8627,2011-02-09,Same Day,51.62
Sam_8889,2011-02-09,Same Day,23.0
Sec_31786,2011-02-09,Second Class,0.35
Sec_5659,2011-02-09,Second Class,0.19
Sec_26670,2011-02-09,Second Class,20.22
Sec_5967,2011-02-09,Second Class,6.06
Sec_24715,2011-02-09,Second Class,1.77
Sec_50762,2011-02-09,Second Class,3.37
Sta_50763,2011-02-09,Standard Class,2.55
Sta_597,2011-02-09,Standard Class,3.16
Sta_9753,2011-02-10,Standard Class,0.8
Sam_32708,2011-02-10,Same Day,8.95
Sam_34085,2011-02-10,Same Day,60.85
Sec_33800,2011-02-10,Second Class,0.23
Fir_28151,2011-02-10,First Class,33.51
Fir_28150,2011-02-10,First Class,25.28
Fir_2535,2011-02-10,First Class,2.27
Sta_49579,2011-02-10,Standard Class,4.99
Sta_47542,2011-02-10,Standard Class,1.66
Fir_27341,2011-02-10,First Class,1.57
Sec_25088,2011-02-11,Second Class,107.678
Sec_7446,2011-02-11,Second Class,35.895
Sta_12432,2011-02-11,Standard Class,6.93
Sta_12198,2011-02-11,Standard Class,9.87
Sta_36141,2011-02-11,Standard Class,10.45
Sec_46880,2011-02-11,Second Class,0.51
Sec_1222,2011-02-11,Second Class,19.07
Sta_10950,2011-02-12,Standard Class,3.58
Sta_15693,2011-02-12,Standard Class,14.79
Sec_7828,2011-02-12,Second Class,25.86
Sta_40435,2011-02-12,Standard Class,4.54
Sta_35171,2011-02-12,Standard Class,4.77
Sta_34790,2011-02-12,Standard Class,0.55
Sta_34791,2011-02-12,Standard Class,2.22
Sta_45023,2011-02-13,Standard Class,9.45
Sta_14041,2011-02-13,Standard Class,1.27
Sta_22398,2011-02-13,Standard Class,1.52
Sec_32632,2011-02-13,Second Class,0.98
Sta_17301,2011-02-13,Standard Class,20.16
Sta_16272,2011-02-13,Standard Class,5.99
Sta_17878,2011-02-13,Standard Class,4.32
Sta_21626,2011-02-13,Standard Class,0.16
Sec_25983,2011-02-13,Second Class,15.49
Sec_8123,2011-02-13,Second Class,6.81
Sta_16500,2011-02-13,Standard Class,5.55
Fir_25089,2011-02-13,First Class,59.42
Sta_36045,2011-02-13,Standard Class,55.887
Sta_36061,2011-02-13,Standard Class,44.665
Sta_36692,2011-02-13,Standard Class,5.71
Sta_37093,2011-02-13,Standard Class,14.63
Sta_36239,2011-02-13,Standard Class,35.11
Fir_32094,2011-02-13,First Class,0.39
Sta_27377,2011-02-13,Standard Class,12.6
Sta_35631,2011-02-13,Standard Class,35.76
Sta_17556,2011-02-14,Standard Class,2.6
Sta_11498,2011-02-14,Standard Class,8.63
Sta_36142,2011-02-14,Standard Class,24.0
Sta_41954,2011-02-14,Standard Class,11.19
Sta_13514,2011-02-14,Standard Class,1.37
Sta_10870,2011-02-14,Standard Class,5.642
Sta_10871,2011-02-14,Standard Class,6.629
Sta_10728,2011-02-14,Standard Class,11.222
Sta_11186,2011-02-14,Standard Class,22.02
Sta_22399,2011-02-14,Standard Class,3.9
Sta_19842,2011-02-14,Standard Class,3.44
Sta_13182,2011-02-14,Standard Class,0.83
Sta_12742,2011-02-14,Standard Class,6.28
Sta_13183,2011-02-14,Standard Class,11.44
Sta_13181,2011-02-14,Standard Class,1.32
Sta_13261,2011-02-14,Standard Class,2.85
Fir_6894,2011-02-14,First Class,8.97
Fir_8125,2011-02-14,First Class,12.48
Fir_25090,2011-02-14,First Class,201.54
Fir_8124,2011-02-14,First Class,8.97
Sta_12877,2011-02-14,Standard Class,2.34
Sta_37334,2011-02-14,Standard Class,2.85
Sta_13260,2011-02-14,Standard Class,5.54
Sta_13681,2011-02-14,Standard Class,5.17
Sta_21162,2011-02-14,Standard Class,17.87
Sta_21246,2011-02-14,Standard Class,50.42
Sta_15294,2011-02-14,Standard Class,1.44
Sta_35552,2011-02-15,Standard Class,11.756
Sta_10951,2011-02-15,Standard Class,2.92
Sta_22106,2011-02-15,Standard Class,12.3
Sta_14042,2011-02-15,Standard Class,21.57
Sta_19940,2011-02-15,Standard Class,413.8
Sec_25982,2011-02-15,Second Class,143.07
Sec_9263,2011-02-15,Second Class,0.84
Sec_7375,2011-02-15,Second Class,3.1
Sec_9046,2011-02-15,Second Class,13.47
Sta_37918,2011-02-15,Standard Class,11.94
Sta_37488,2011-02-15,Standard Class,1.27
Sta_37335,2011-02-15,Standard Class,13.62
Sta_37919,2011-02-15,Standard Class,1.49
Sta_23302,2011-02-15,Standard Class,67.95
Sta_11067,2011-02-15,Standard Class,2.24
Sta_35632,2011-02-15,Standard Class,1.39
Sta_36585,2011-02-15,Standard Class,5.99
Sta_37094,2011-02-15,Standard Class,5.61
Sta_35633,2011-02-15,Standard Class,16.58
Sta_12601,2011-02-16,Standard Class,12.38
Sec_3320,2011-02-16,Second Class,6.7
Sec_25929,2011-02-16,Second Class,6.34
Sec_24799,2011-02-16,Second Class,121.21
Sec_26152,2011-02-16,Second Class,286.19
